company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_name,investor_region,funding_round_type,metric
AwesomeTouch,,,,,,,,,AwesomeTouch        
Tracelytics,,,,,,,,,Tracelytics        
Manpacks,,,,,,,,,Manpacks        
Plandree,,,,,,,,,Plandree        
Spogo Inc.,,,,,,,,,Spogo Inc.        
Sproutel,,,,,,,,,Sproutel        
Kuratur,,,,,,,,,Kuratur        
AutoBike,,,,,,,,,AutoBike        
Recroup,,,,,,,,,Recroup        
DapperJobs,,,,,,,,,DapperJobs        
A Curated World,,,,,,,,,A Curated World        
Bare Tree Media,,,,,,,,,Bare Tree Media        
AutoShag,,,,,,,,,AutoShag        
Care Thread,,,,,,,,,Care Thread        
Designer Material,,,,,,,,,Designer Material        
Edtrips,,,,,,,,,Edtrips        
HealthID Profile,,,,,,,,,HealthID Profile        
"MoveableCode, Inc.",,,,,,,,,"MoveableCode, Inc.        "
RaftOut,,,,,,,,,RaftOut        
Rootless,,,,,,,,,Rootless        
SkillHound,,,,,,,,,SkillHound        
Splashscore,,,,,,,,,Splashscore        
Learning Hyperdrive,,,,,,,,,Learning Hyperdrive        
SurpriseRide,,,,,,,,,SurpriseRide        
Thumbs Up,,,,,,,,,Thumbs Up        
Umbie DentalCare,,,,,,,,,Umbie DentalCare        
ZoomTilt,,,,,,,,,ZoomTilt        
Diavibe,,,,,,,,,Diavibe        
NuLabel Technologies,,,,,,,,,NuLabel Technologies        
Leotus,,,,,,,,,Leotus        
Expedit.us,,,,,,,,,Expedit.us        
Periscape,,,,,,,,,Periscape        
Databraid,,,,,,,,,Databraid        
Hope Street Media,,,,,,,,,Hope Street Media        
Tumblr,,,,,,,,,Tumblr        
Summize,,,,,,,,,Summize        
ideeli,,,,,,,,,ideeli        
Lookery,,,,,,,,,Lookery        
Snaptalent,,,,,,,,,Snaptalent        
Covestor,,,,,,,,,Covestor        
Someecards,,,,,,,,,Someecards        
Lotame,,,,,,,,,Lotame        
Outside.in,,,,,,,,,Outside.in        
OMGPOP,,,,,,,,,OMGPOP        
Mob.ly,,,,,,,,,Mob.ly        
Tipjoy,,,,,,,,,Tipjoy        
StockTwits,,,,,,,,,StockTwits        
UserVoice,,,,,,,,,UserVoice        
ChallengePost,,,,,,,,,ChallengePost        
gdgt,,,,,,,,,gdgt        
DailyBooth,,,,,,,,,DailyBooth        
Hot Potato,,,,,,,,,Hot Potato        
Superfeedr,,,,,,,,,Superfeedr        
Venmo,,,,,,,,,Venmo        
Backupify,,,,,,,,,Backupify        
Bitly,,,,,,,,,Bitly        
UberMedia,,,,,,,,,UberMedia        
Extension Entertainment,,,,,,,,,Extension Entertainment        
Fluidinfo,,,,,,,,,Fluidinfo        
Open Places,,,,,,,,,Open Places        
SocialFlow,,,,,,,,,SocialFlow        
Ze Frank Games,,,,,,,,,Ze Frank Games        
Embedly,,,,,,,,,Embedly        
GroupMe,,,,,,,,,GroupMe        
AdKeeper,,,,,,,,,AdKeeper        
OnSwipe,,,,,,,,,OnSwipe        
Path,,,,,,,,,Path        
Yieldbot,,,,,,,,,Yieldbot        
Kickstarter,,,,,,,,,Kickstarter        
ShowMe,,,,,,,,,ShowMe        
Piictu,,,,,,,,,Piictu        
Clipboard,,,,,,,,,Clipboard        
Lascaux Co.,,,,,,,,,Lascaux Co.        
IFTTT,,,,,,,,,IFTTT        
Everlane,,,,,,,,,Everlane        
Pinwheel,,,,,,,,,Pinwheel        
Highlight,,,,,,,,,Highlight        
Veri,,,,,,,,,Veri        
Branch,,,,,,,,,Branch        
Couple,,,,,,,,,Couple        
Keep Holdings,,,,,,,,,Keep Holdings        
CasaHop,,,,,,,,,CasaHop        
Punch!,,,,,,,,,Punch!        
RebelMouse,,,,,,,,,RebelMouse        
Pickie,,,,,,,,,Pickie        
Seesaw,,,,,,,,,Seesaw        
Picturelife,,,,,,,,,Picturelife        
Editorially,,,,,,,,,Editorially        
Namo Media,,,,,,,,,Namo Media        
LayerVault,,,,,,,,,LayerVault        
Star.me,,,,,,,,,Star.me        
Fancy Hands,,,,,,,,,Fancy Hands        
Albumatic,,,,,,,,,Albumatic        
Grand St.,,,,,,,,,Grand St.        
Bondsy,,,,,,,,,Bondsy        
Ditto,,,,,,,,,Ditto        
Rap Genius,,,,,,,,,Rap Genius        
CollabFinder,,,,,,,,,CollabFinder        
Kabam,,,,,,,,,Kabam        
Dwolla,,,,,,,,,Dwolla        
Biomimedica,,,,,,,,,Biomimedica        
Applyful,,,,,,,,,Applyful        
ConnectEdu,,,,,,,,,ConnectEdu        
Intellikine,,,,,,,,,Intellikine        
Virdante Pharmaceuticals,,,,,,,,,Virdante Pharmaceuticals        
Provasculon,,,,,,,,,Provasculon        
Raven Biotechnologies,,,,,,,,,Raven Biotechnologies        
iPierian,,,,,,,,,iPierian        
Museum of Science,,,,,,,,,Museum of Science        
Tetra Discovery,,,,,,,,,Tetra Discovery        
NephroGenex,,,,,,,,,NephroGenex        
Synthetic Biologics,,,,,,,,,Synthetic Biologics        
Rockford Foresters Baseball Team,,,,,,,,,Rockford Foresters Baseball Team        
Gliph,,,,,,,,,Gliph        
Wedit,,,,,,,,,Wedit        
PicketReport.com,,,,,,,,,PicketReport.com        
Chalkfly,,,,,,,,,Chalkfly        
GreenLancer,,,,,,,,,GreenLancer        
Easel Learn,,,,,,,,,Easel Learn        
The Coveteur,,,,,,,,,The Coveteur        
Carbon Black,,,,,,,,,Carbon Black        
Rive Technology,,,,,,,,,Rive Technology        
Secure Mentem,,,,,,,,,Secure Mentem        
Radical Studios,,,,,,,,,Radical Studios        
xG Technology,,,,,,,,,xG Technology        
Geckocap,,,,,,,,,Geckocap        
FedBid,,,,,,,,,FedBid        
mobiManage,,,,,,,,,mobiManage        
Budge,,,,,,,,,Budge        
iCouch,,,,,,,,,iCouch        
iMedicare,,,,,,,,,iMedicare        
AdhereTech,,,,,,,,,AdhereTech        
GOSO,,,,,,,,,GOSO        
Appcore,,,,,,,,,Appcore        
IActionable,,,,,,,,,IActionable        
Icount.com,,,,,,,,,Icount.com        
AuditFile.com,,,,,,,,,AuditFile.com        
BitWall,,,,,,,,,BitWall        
Unemployment-Extension.Org,,,,,,,,,Unemployment-Extension.Org        
SURF Communication Solutions,,,,,,,,,SURF Communication Solutions        
Sadra Medical,,,,,,,,,Sadra Medical        
Health Hero Network(Bosch Healthcare),,,,,,,,,Health Hero Network(Bosch Healthcare)        
Adiana,,,,,,,,,Adiana        
Neuros Medical,,,,,,,,,Neuros Medical        
Channel Medsystems,,,,,,,,,Channel Medsystems        
SetPoint Medical,,,,,,,,,SetPoint Medical        
Atari,,,,,,,,,Atari        
Edition01,,,,,,,,,Edition01        
MobileDay,,,,,,,,,MobileDay        
Moveline,,,,,,,,,Moveline        
Adcade,,,,,,,,,Adcade        
Thanx,,,,,,,,,Thanx        
Panna,,,,,,,,,Panna        
Sunrise,,,,,,,,,Sunrise        
Vamo,,,,,,,,,Vamo        
Sproutling,,,,,,,,,Sproutling        
"ChargePoint, Inc.",,,,,,,,,"ChargePoint, Inc.        "
Jan Medical,,,,,,,,,Jan Medical        
Learnmetrics,,,,,,,,,Learnmetrics        
SocialThreader,,,,,,,,,SocialThreader        
CrowdHall,,,,,,,,,CrowdHall        
Fynanz,,,,,,,,,Fynanz        
Clearwire,,,,,,,,,Clearwire        
YaSabe,,,,,,,,,YaSabe        
XDx,,,,,,,,,XDx        
Verenium,,,,,,,,,Verenium        
MIT Energy Initiative,,,,,,,,,MIT Energy Initiative        
Roku,,,,,,,,,Roku        
Location Labs,,,,,,,,,Location Labs        
Real Time Content,,,,,,,,,Real Time Content        
BroadLight,,,,,,,,,BroadLight        
Tilera,,,,,,,,,Tilera        
Tacit Networks,,,,,,,,,Tacit Networks        
Escapia,,,,,,,,,Escapia        
Ridemakerz,,,,,,,,,Ridemakerz        
Offerpop,,,,,,,,,Offerpop        
LinkStorm,,,,,,,,,LinkStorm        
Solazyme,,,,,,,,,Solazyme        
MicuRx Pharmaceuticals,,,,,,,,,MicuRx Pharmaceuticals        
GenieDB,,,,,,,,,GenieDB        
Tela Innovations,,,,,,,,,Tela Innovations        
CoWare,,,,,,,,,CoWare        
NVELO,,,,,,,,,NVELO        
Zoondy,,,,,,,,,Zoondy        
Rock Health,,,,,,,,,Rock Health        
iRhythm Technologies,,,,,,,,,iRhythm Technologies        
Ondax,,,,,,,,,Ondax        
Qliance Medical Management,,,,,,,,,Qliance Medical Management        
